"houseTitle","houseLocation","housePrice","houseRatingStars","houseReviewNumber","url","baños","habitaciones","camas","houseServices"
"Villa Nikara a 5 minutes walk from Berawa Beach","Kuta Utara, Bali, Indonesia",205,4,104,"https://nextviaje.vercel.app/detalles/villa-nikara-a-5-minutes-walk-from-berawa-beach",1,3,2,"[""servicios\ncocina\nwifi\nplancha\nestacionamiento gratuito en las instalaciones\njacuzzi""]"
"Stunning Designer Home-Anjali Suite","Ubud, Bali, Indonesia",534,3,59,"https://nextviaje.vercel.app/detalles/stunning-designer-homeanjali-suite",1,3,1,"[""servicios\ncocina\nwifi\nplancha\ndesayuno\nsecador de pelo""]"
"Hidden Escape Pool & Wifi","Denpasar, Bali, Indonesia",977,5,34,"https://nextviaje.vercel.app/detalles/hidden-escape-pool-and-wifi",1,1,3,"[""servicios\ncalefacción\nwifi\naire acondicionado\nzona para trabajar con computadora portátil\nelementos básicos""]"
"BEAUTIFUL ROOM WITH PRIVATE POOL","Ubud, Bali, Indonesia",793,2,64,"https://nextviaje.vercel.app/detalles/beautiful-room-with-private-pool",1,1,3,"[""servicios\ncocina\nchimenea interior\nwifi\nestacionamiento gratuito en las instalaciones\ndesayuno""]"
"Modern & Spacious - Short Walk to Beach/Shops/Food","Kuta Utara, Bali, Indonesia",914,3,254,"https://nextviaje.vercel.app/detalles/modern-and-spacious-short-walk-to-beach-shops-food",1,2,2,"[""servicios\ncocina\nwifi\nplancha\nestacionamiento gratuito en las instalaciones\nsecador de pelo""]"
"ROMANTIC GETAWAY - ARCHITECTURAL MASTERPIECE","Kuta Utara, Bali, Indonesia",998,5,84,"https://nextviaje.vercel.app/detalles/romantic-getaway-architectural-masterpiece",1,3,2,"[""servicios\ncocina\nwifi\nplancha\nestacionamiento gratuito en las instalaciones\nsecador de pelo""]"
"Bamboo eco cottage in rice fields","Ubud, Bali, Indonesia",248,1,97,"https://nextviaje.vercel.app/detalles/bamboo-eco-cottage-in-rice-fields",2,3,1,"[""servicios\nwifi\nsecadora\nlavadora\nsecador de pelo\nelementos básicos""]"
"Tropical Suite Villa private pool 5","Canggu, Bali, Indonesia",76,3,87,"https://nextviaje.vercel.app/detalles/tropical-suite-villa-private-pool-5",1,1,3,"[""servicios\ncocina\nwifi\nplancha\nestacionamiento gratuito en las instalaciones\nsecador de pelo""]"
"180° VIEW, PRIVATE POOL VILLA..","Singaraja, Bali, Indonesia",757,5,74,"https://nextviaje.vercel.app/detalles/180-view-private-pool-villa",1,3,1,"[""servicios\ncocina\ngimnasio\nwifi\nplancha\nsecadora""]"
"Antique garden cabins with HEART! 3","Denpasar, Bali, Indonesia",172,4,63,"https://nextviaje.vercel.app/detalles/antique-garden-cabins-with-heart-3",1,3,1,"[""servicios\ncocina\nwifi\nestacionamiento gratuito en las instalaciones\naire acondicionado\nzona para trabajar con computadora portátil""]"
"Aura House 2bds Eco Bamboo House, Pool, River View","Abiansemal, Bali, Indonesia",701,3,44,"https://nextviaje.vercel.app/detalles/aura-house-2bds-eco-bamboo-house-pool-river-view",1,3,1,"[""servicios\ncocina\nwifi\nestacionamiento gratuito en las instalaciones\nsecador de pelo\naire acondicionado""]"
"Secret Spot near the beach","Kuta, Legian, Bali, Indonesia",218,4,78,"https://nextviaje.vercel.app/detalles/secret-spot-near-the-beach",1,1,2,"[""servicios\ncocina\nwifi\nplancha\nestacionamiento gratuito en las instalaciones\nsecador de pelo""]"
"LUXURY,COSY & PRIVATE VILLA","Canggu, Bali, Indonesia",356,5,235,"https://nextviaje.vercel.app/detalles/luxury-cosy-and-private-villa",1,1,3,"[""servicios\ncocina\ncalefacción\nwifi\nplancha\nestacionamiento gratuito en las instalaciones""]"
"BALIAN TREEHOUSE w beautiful pool","Balian Beach, Bali, Selemadeg Barat, Indonesia",347,1,98,"https://nextviaje.vercel.app/detalles/balian-treehouse-w-beautiful-pool",2,1,1,"[""servicios\ncocina\nwifi\nestacionamiento gratuito en las instalaciones\ntelevisión por cable\naire acondicionado""]"
"Beautiful Cliff-Side Jungle Villa","Bali, Indonesia",875,2,36,"https://nextviaje.vercel.app/detalles/beautiful-cliffside-jungle-villa",2,2,1,"[""servicios\ncocina\nwifi\nestacionamiento gratuito en las instalaciones\nsecador de pelo\ntelevisión por cable""]"
"HIDEOUT BALI - Eco Bamboo Home","Selat, Bali, Indonesia",437,5,46,"https://nextviaje.vercel.app/detalles/hideout-bali-eco-bamboo-home",2,2,2,"[""servicios\ncocina\nwifi\nestacionamiento gratuito en las instalaciones\ndesayuno\nzona para trabajar con computadora portátil""]"
"Tree House 10 mins drive fr center","Mueang Chiang Mai, Chiang Mai, Tailandia",997,4,78,"https://nextviaje.vercel.app/detalles/tree-house-10-mins-drive-fr-center",2,3,2,"[""servicios\ncocina\ngimnasio\nwifi\nestacionamiento gratuito en las instalaciones\nsecador de pelo""]"
"The Astra#Rooftop Pool#Gym#Sauna#Near Nightmarket","Amphoe Mueang Chiang Mai, Chiang Mai, Tailandia",263,2,88,"https://nextviaje.vercel.app/detalles/the-astra-rooftop-pool-gym-sauna-near-nightmarket",1,3,1,"[""servicios\nascensor\ncocina\ngimnasio\njacuzzi\nsecadora""]"
"806[SeeView] 3 min. to Chiang Mai Old town","Amphoe Mueang Chiang Mai, Chiang Mai, Tailandia",792,2,38,"https://nextviaje.vercel.app/detalles/806-seeview-3-min-to-chiang-mai-old-town",2,2,4,"[""servicios\ncocina\nwifi\nplancha\nestacionamiento gratuito en las instalaciones\nsecador de pelo""]"
"CosyRoom near North Gate +free breakfast @AmakaB&B","Muang, Chiang Mai, Tailandia",635,1,250,"https://nextviaje.vercel.app/detalles/cosyroom-near-north-gate-free-breakfast-amakabandb",2,3,3,"[""servicios\nwifi\ndesayuno\nplancha\nestacionamiento gratuito en las instalaciones\nsecador de pelo""]"
"Brand-new Apt. near Nimman,SuthepMount.andOld City","Amphoe Mueang Chiang Mai, Chiang Mai, Tailandia",101,3,99,"https://nextviaje.vercel.app/detalles/brandnew-apt-near-nimman-suthepmountandold-city",1,2,2,"[""servicios\nascensor\ncocina\ngimnasio\njacuzzi\ncalefacción""]"
"Nice & Clean Room in HeyHa House","Chiang Mai, Tailandia",496,4,47,"https://nextviaje.vercel.app/detalles/nice-and-clean-room-in-heyha-house",2,3,1,"[""servicios\nwifi\nestacionamiento gratuito en las instalaciones\nsecador de pelo\ntelevisión por cable\nzona para trabajar con computadora portátil""]"
"Baan Sri Dha - Luxury 3Bed in Town","Hai Ya, Chiang Mai, Tailandia",480,4,87,"https://nextviaje.vercel.app/detalles/baan-sri-dha-luxury-3bed-in-town",2,2,2,"[""servicios\ncocina\nwifi\ndesayuno\nplancha\nestacionamiento gratuito en las instalaciones""]"
"The Hipster Townhome","Su Thep, Chiang Mai, Tailandia",769,4,51,"https://nextviaje.vercel.app/detalles/the-hipster-townhome",1,2,3,"[""servicios\ncocina\nwifi\nplancha\nestacionamiento gratuito en las instalaciones\nsecador de pelo""]"
"Modern Western Home","A Muang, Chiang Mai, Tailandia",514,1,69,"https://nextviaje.vercel.app/detalles/modern-western-home",2,1,2,"[""servicios\ncocina\nwifi\ndesayuno\nestacionamiento gratuito en las instalaciones\nsecador de pelo""]"
"PRIVATE HOUSE IN CHIANGMAI'S HISTORIC CITY.","Tambon Phra Sing, Chiang Mai, Tailandia",821,4,36,"https://nextviaje.vercel.app/detalles/private-house-in-chiangmais-historic-city",1,1,4,"[""servicios\ncocina\njacuzzi\nwifi\nplancha\nsecador de pelo""]"
"Luxury room in hippest area Nimman/mountain view","Su Thep, Chiang Mai, Tailandia",247,3,78,"https://nextviaje.vercel.app/detalles/luxury-room-in-hippest-area-nimman-mountain-view",2,2,1,"[""servicios\nascensor\ncocina\ngimnasio\nwifi\nplancha""]"
"Chiang Mai Changkang Road Luxury The Astra","Chiang Mai, Tailandia",842,3,64,"https://nextviaje.vercel.app/detalles/chiang-mai-changkang-road-luxury-the-astra",2,2,1,"[""servicios\nascensor\ncocina\ngimnasio\njacuzzi\nsecadora""]"
"CLEAN CM University+foodstalls+Pool","Chiang Mai, Tailandia",385,1,88,"https://nextviaje.vercel.app/detalles/clean-cm-universityfoodstallspool",1,2,1,"[""servicios\nascensor\ncocina\ngimnasio\nwifi\nplancha""]"
"Sala Old Town Singharat Road","Si Phum, Chiang Mai, Tailandia",634,4,36,"https://nextviaje.vercel.app/detalles/sala-old-town-singharat-road",2,1,2,"[""servicios\ncocina\nwifi\nsecador de pelo\nzona para trabajar con computadora portátil\nlavadora""]"
"Villa Nittra Singharaj","Chiang Mai, Tailandia",153,3,64,"https://nextviaje.vercel.app/detalles/villa-nittra-singharaj",2,2,3,"[""servicios\ncocina\nsecadora\nwifi\nplancha\nsecador de pelo""]"
"The Centr of Nimman by Palm Springs.","Su Thep, Chiang Mai, Tailandia",94,2,150,"https://nextviaje.vercel.app/detalles/the-centr-of-nimman-by-palm-springs",1,2,1,"[""servicios\nascensor\ngimnasio\nwifi\nplancha\nestacionamiento gratuito en las instalaciones""]"
"City center.close Night Bazaar.old city","Thesaban Nakhon Chiang Mai, Chiang Mai, Tailandia",926,2,120,"https://nextviaje.vercel.app/detalles/city-center-close-night-bazaarold-city",1,3,3,"[""servicios\nascensor\ncocina\ngimnasio\njacuzzi\nsecadora""]"
"Modern Beautiful Luxury Boutique Condo","Chiang Mai, Tailandia",650,4,87,"https://nextviaje.vercel.app/detalles/modern-beautiful-luxury-boutique-condo",2,2,4,"[""servicios\nascensor\ncocina\ngimnasio\nwifi\nplancha""]"